"","ctr_code","country","Marine_Area","Shelf_Area","Coastline","Land_Area","Reef_Area","Mangrove_Area","Inshore_Fishing_Area","Reefs_At_Risk","Population","Coastal_Population","GDP","GDP_/_Capita","Fish_Consumption","Human_Development_Index"
"111",117,"Taiwan",285000,NA,1566.3,1566.3,940,339,NA,88,22920946,100,6.954e+11,30100,NA,NA
"112",118,"Tanzania",204300,17900,1424,885800,3580,1286.83,25611,99,42746620,21.1,6.222e+10,1500,10,0.398
"113",119,"Thailand",176500,185400,3219,510890,2130,2483.62,130566,96,66720153,38.7,5.803e+11,8700,33,0.654
"114",120,"Timor-Leste",NA,NA,706,14874,NA,18.02,NA,NA,1177834,NA,3.004e+09,2600,NA,0.502
"115",121,"Tokelau",290000,NA,101,12,50,NA,NA,0,1384,NA,1500000,1000,129,NA
"116",122,"Tonga",7e+05,NA,419,717,1500,3.36,NA,46,105916,97.5,7.67e+08,6300,35,0.677
"117",124,"Trinidad and Tobago",60700,22600,362,5128,40,65.72,25284,100,1227505,100,2.71e+10,22100,14,0.736
"118",125,"Turks and Caicos Islands",153000,NA,389,948,1190,236,56093,47,44819,NA,2.16e+08,11500,NA,NA
"119",126,"Tuvalu",9e+05,NA,24,26,710,0.4,NA,15,11500,NA,14940000,1600,113,NA
"120",127,"United Arab Emirates",21200,51400,1318,83600,1190,68.21,54315,65,5148664,84.9,1.998e+11,40200,29,0.815
"121",128,"United States",NA,NA,NA,16759,1180,NA,17016,57,2020000,NA,NA,NA,21,NA
"122",129,"Vanuatu",680000,NA,2528,12189,4110,20.51,11483,70,12189,100,1.216e+09,5500,26,0.674
"123",130,"Venezuela",385700,123600,2800,882050,230,3569.11,107759,44,27635743,73.1,3.442e+11,12600,20,0.696
"124",131,"Vietnam",237800,352400,3444,310070,1270,1056.08,178006,86,90549390,82.8,2.781e+11,3100,17,0.572
"125",132,"Virgin Islands (British)",81000,NA,NA,150,380,5.87,NA,100,24004,NA,320,38500,NA,NA
"126",133,"Virgin Islands (U.S.)",6000,NA,188,346,590,2.57,NA,100,109666,100,1.577e+09,14500,10,NA
"127",134,"Wake Island",NA,NA,19.3,6.5,NA,NA,NA,NA,0,NA,0,0,NA,NA
"128",135,"Wallis and Futuna",3e+05,NA,129,142,940,0.25,NA,26,15398,NA,6e+07,3800,NA,NA
"129",136,"Yemen",465000,65300,1746,527968,700,9.27,59229,73,24133492,63.5,6.188e+10,2600,7,0.439
